Mês ;Unidade;Prefeitura regional;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades"
Fevereiro;SMUL/PARHIS-2       ;SANTANA/ TUCURUVI              ;2017.02.622-00;2015-0.260.567-4;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;30/09/2015;070.251.0015-3;EHMP; ZM-2/002;Z2.;MANDAQUI;873,61;RESIDENCIAL PONCET EMPREENDIMENTO IMOBILIÁRIO SPE LTDA;472,32;R   PADRE AGOSTINHO PONCET 00202 ;09/02/2017;MARCIO CORDEIRO VAZ;;MARCIO CORDEIRO VAZ;;B: 1 P: 2 U: 9
Fevereiro;SMUL/PARHIS-2       ;SANTANA/ TUCURUVI              ;2017.02.854-00;2015-0.263.937-4;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;02/10/2015;069.078.0036-5;H.M.P; ZM-2/006 / EETU;Z2.;SANTANA;;SARGENTO MOR EMPREENDIMENTOS - SPE LTDA;;R   SARGENTO MOR RAMALHO 00030 ;13/02/2017;TATIANE HERNANDES;;TATIANE HERNANDES;;
Fevereiro;SMUL/PARHIS-2       ;SANTANA/ TUCURUVI              ;2017.03.755-00;2016-0.002.967-8;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;06/01/2016;070.049.0090-8;EHMP; ZM;ZONA DE CENTRALIDADE POLAR - B.;VILA NOVA MAZZEI;257,82;CHO OYU EMP.E ADMINISTRADORA DE IMOVEIS LTDA;216,50;R   DOS COQUEIROS 00339 341;24/02/2017;TATIANE HERNANDES;;TATIANE HERNANDES;;B: 1 P: 2 U: 8
Fevereiro;SMUL/PARHIS-2       ;SAO MATEUS                    ;2017.02.853-00;2013-0.010.435-6;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;12/01/2013;194.169.0012-4;H.M.P; ZCP-A/008;Z9-009.;GUAIANAZES;189,57;AZ INCORPORACOES IMOBILIARIAS LTDA;323,72;R     JOSE CARLOS PEIXOTO SPINARDI 00131 QD 31 LT 12;13/02/2017;LUIS ANTONIO PASSONI;;LUIS ANTONIO PASSONI;;B: 1 P: 2 U: 4
Fevereiro;SMUL/PARHIS-2       ;SAO MIGUEL                    ;2017.02.626-00;2015-0.201.937-6;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;04/08/2015;131.062.0024-2;H.M.P; ZM-1/002;Z2.;VILA JACUI;439,48;ESPOLIO DE MARIA PEREIRA DE QUEIROZ;330,00;R   VARZELANDIA 00047 ;09/02/2017;EVANDRO PACHECO JANUARIO;;EVANDRO PACHECO JANUARIO;;B: 1 P: 2 U: 7
Fevereiro;SMUL/PARHIS-2       ;SAO MIGUEL                    ;2017.03.533-00;2016-0.042.826-2;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;23/02/2016;112.524.0002-1;H.M.P; ZM-2;Z2.;JARDIM SAO VICENTE;247,80;BIANCA SEBA;250,00;AV  PROF ARGEMIRO SILVESTRE 00267 ;22/02/2017;EVANDRO PACHECO JANUARIO;;EVANDRO PACHECO JANUARIO;;B: 1 P: 2 U: 5
Fevereiro;SMUL/PARHIS-2       ;VILA MARIA/ VILA GUILHERME     ;2017.03.561-00;2015-0.272.999-3;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;13/10/2015;068.301.0004-6;H.M.P; ZM-3A/001;Z2.;VILA IZOLINA MAZZEI;262,43;WILTON FERREIRA RIBEIRO;260,00;R   SIMAO JORGE 00004 ;22/02/2017;GRAZIELA ROSA DA TRINDADE PICCOLI;;GRAZIELA ROSA DA TRINDADE PICCOLI;;B: 1 P: 2 U: 0
Fevereiro;SMUL/PARHIS-2       ;VILA MARIA/ VILA GUILHERME     ;2017.03.642-00;2015-0.091.730-0;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;09/04/2015;068.077.0033-4;H.M.P; ZM-3A/001;Z2.;VILA GUILHERME;417,45;RICARDO AQUINO RIBEIRO E OUTRO;449,14;R   HENRIQUE MAZZEI 00086 86A;23/02/2017;TATIANE HERNANDES;;TATIANE HERNANDES;;B: 1 P: 2 U: 7
Fevereiro;SMUL/PARHIS-2       ;VILA MARIA/ VILA GUILHERME     ;2017.03.644-00;2016-0.028.436-8;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;04/02/2016;068.158.0062-8;H.M.P; ZM-3A/004;Z2.;VILA GUILHERME;2.387,05;ANTONIO TEIXEIRA DE ARAUJO JUNIOR;1.491,60;AV  ANGELINA 00407 ;23/02/2017;EMERSON AUGUSTO DAS NEVES DIAS;;EMERSON AUGUSTO DAS NEVES DIAS;;B: 1 P: 6 U: 40
Fevereiro;SMUL/PARHIS-2       ;VILA PRUDENTE                 ;2017.03.099-00;2016-0.190.065-8;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;19/08/2016;100.082.0004-0;EHMP; ZEUP;ZONA DE CENTRALIDADE POLAR - B.;VILA PRUDENTE;719,68;RDS EMP. IMOBILIARIOS EIRELI - EPP;464,00;R   FIDELIS PAPINI 00570 ;15/02/2017;LEANDRO DESTRO;;LEANDRO DESTRO;;B: 1 P: 2 U: 8
Fevereiro;SMUL/PARHIS-2       ;VILA PRUDENTE                 ;2017.03.198-00;2015-0.131.289-4;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;20/05/2015;051.229.0031-0;H.M.P; ZM-2;Z2.;VILA ALPINA;400,32;GRSS IMOVEIS COMERCIO E INCORPORACOES LTDA;400,00;R   GASPAR BARRETO 00630 ;16/02/2017;LEANDRO DESTRO;;LEANDRO DESTRO;;B: 1 P: 2 U: 7
Fevereiro;SMUL/PARHIS-2       ;VILA PRUDENTE                 ;2017.03.199-00;2015-0.261.670-6;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;01/10/2015;118.248.0099-0;H.M.P; ZM-2;Z2.;SAO LUCAS;234,62;DANIEL DE ALMEIDA PERSON;233,42;R   SAO CAIO 00426 ;16/02/2017;JULIO CESAR OLIVIERI;;JULIO CESAR OLIVIERI;;B: 1 P: 2 U: 0
Fevereiro;SMUL/PARHIS-3       ;CIDADE ADEMAR                 ;2014.18.390-02;2012-0.174.775-5;APOSTILAMENTO DE CERTIDAO DE DIRETRIZES PARA DESMEMBRAMENTO;20/06/2012;173.111.0110-6;;;  ;SANTO AMARO;;ESPÓLIO DE GABRIELE CANESTRELLI E SERGIO CANESTRELLI;48.834,41;AV  JOAQUIM L DE TOLEDO BUENO 99999 ;22/02/2017;;;;;
Fevereiro;SMUL/PARHIS-3       ;PIRITUBA                      ;2016.22.687-02;2016-0.270.336-8;APOSTILAMENTO DE ALVARA DE LOTEAMENTO;08/12/2016;124.120.0014-9;; ZEIS-2/N011;Z2.;PIRITUBA;;JOSE ALVARO PEREIRA LEITE;;R   BRIG GODINHO DOS SANTOS 359 VILA BOACAVA;22/02/2017;;;;;
Fevereiro;SMUL/PARHIS-4       ;BUTANTA                       ;2017.02.616-00;2016-0.082.654-3;CERTIDAO DE DIRETRIZES PARA DESMEMBRAMENTO;07/04/2016;186.006.0012-9;;;ZONA MISTA DE PROTECAO AMBIENTAL.;CITY BUSSOCABA;;TENDA NEGOCIOS IMOBILIARIOS S/A;31.408,48;R   KENKITI SHIMOMOTO 99999 LTS 10A15 QD B;09/02/2017;LUCAS CRISPIM;;;;
Fevereiro;SMUL/RESID-G        ;LAPA                          ;2017.03.524-00;2013-0.365.391-1;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;11/12/2013;023.042.0027-3;R2V-01; ZM-3A/011;Z2.;LAPA;9.463,75;SCIPIAO INCORPORADORA SPE LTDA;2.262,54;R   CIPIAO 00459 447;22/02/2017;CARLOS EDUARDO MONTEIRO;;ALEXANDRE MENDONCA MILLEU;;B: 1 P: 28 U: 54
Fevereiro;SMUL/RESID-G        ;PINHEIROS                     ;2017.03.731-00;2013-0.377.087-0;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;23/12/2013;299.047.0171-5;R2V-02; ZM-3A/004;Z9-022.;VILA OLIMPIA;5.368,32;SK JOAQUIM FERREIRA LOBO EMPREENDIMENTOS IMOB. SPE LTDA;850,00;R   CORONEL JOAQUIM FERREIRA LOBO 00337 ;24/02/2017;SILVIO KOZUCHOWICZ;;SPBR ARQUITETOS LTDA;;B: 1 P: 15 U: 29
Fevereiro;SMUL/RESID-2        ;BUTANTA                       ;2017.01.154-01;2015-0.339.678-5;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;21/12/2015;101.260.0007-6;R2V-02;;Z18-022.;BUTANTA;13.886,50;TRISUL PRADOSIA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.;1.790,00;R   COMENDADOR ELIAS ASSI 126 ;10/02/2017;;;;;B: 1 P: 22 U: 116
Fevereiro;SMUL/RESID-2        ;BUTANTA                       ;2017.02.619-00;2014-0.088.942-8;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;28/03/2014;123.009.0065-2;R2V-01; ZM-3B/001;Z3-177.;BUTANTA;17.977,57;RODOBENS INCORPORADORA IMOBILIARIA 404 - SPE LTDA;3.592,00;R   CAMINHO DO ENGENHO 000333 ;09/02/2017;CLOVIS ANTONIO SANT ANNA FILHO;;JONAS BIRGER;;B: 1 P: 9 U: 153
Fevereiro;SMUL/RESID-2        ;CAMPO LIMPO                   ;2017.02.734-00;2015-0.073.906-1;ALVARA DE APROVACAO DE EDIFICACAO NOVA;23/03/2015;183.108.0006-0;R2V-01; EETU;Z2.;CAMPO LIMPO;9.397,70;JOSE NUNES DE OLIVEIRA;1.600,27;R   FRANCISCO DA CRUZ MELLAO 98 ;10/02/2017;DAVID RAFOUL MOKODSE;;DAVID RAFOUL MOKODSE;;B: 1 P: 14 U: 104
Fevereiro;SMUL/RESID-2        ;JABAQUARA                     ;2015.24.734-01;2017-0.017.734-2;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;31/01/2017;089.305.0054-4;R2H-03; ZCP-A/002;Z2.;JABAQUARA;1.266,67;MARILIA UNGARI DA COSTA DUBOIS E OUTROS;1.274,00;R   DOS CAMBUIS 00239 ;16/02/2017;;;;;B: 3 P: 3 U: 16
Fevereiro;SMUL/RESID-2        ;JACANA/ TREMEMBE               ;2008.29.884-02;2017-0.022.962-8;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;07/02/2017;128.212.0012-8;R2V-01; ZM-P;Z9-004.;TREMEMBE;2.296,26;MANOEL BISCALDI;1.744,50;AV  SENADOR JOSE ERMIRIO DE MORAES 000168 ;22/02/2017;ALICE YUKIE OTAKI PIIBUR;;;;"B: 1 P: 4 U: 16; B: 1 P: 3 U: 20"
Fevereiro;SMUL/RESID-2        ;LAPA                          ;2013.02.091-01;2015-0.145.657-8;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;03/06/2015;197.064.0003-5;R2V-01;;Z8-060/03.;BARRA FUNDA;121.891,46;WINDSOR INVESTIMENTOS IMOBILIARIOS LTDA;16.217,13;R   TRES TRECHO 1A (JD PERDIZES) 000100 ;15/02/2017;;;;;"B: 1 P: 29 U: 108; B: 1 P: 28 U: 104; B: 1 P: 29 U: 108"
Fevereiro;SMUL/RESID-2        ;LAPA                          ;2013.11.283-03;2015-0.145.657-8;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;03/06/2015;197.064.0003-5;R2V-01;;Z8-060/03.;BARRA FUNDA;;WINDSOR INVESTIMENTOS IMOBILIARIOS LTDA;;R   TRES TRECHO 1A (JD PERDIZES) 000100 ;15/02/2017;;;;;
Fevereiro;SMUL/RESID-2        ;LAPA                          ;2016.02.435-02;2016-0.273.726-2;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;19/12/2016;012.159.0004-1;R2V-01; ZM-3A/006;Z2.;POMPEIA;14.390,06;TRISUL YACON EMPREENDIMENTOS IMOBILIARIOS SPE;1.696,40;R   EUCLIDES DE ANDRADE 00027 ;16/02/2017;;;;;B: 1 P: 21 U: 135
Fevereiro;SMUL/RESID-2        ;MOOCA                         ;2017.03.110-00;2014-0.148.577-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;27/05/2014;030.107.0035-0;R2V; ZM-3A;ZONA MISTA DE ALTA DENSIDADE - A.;CIDADE MAE DO CEU;14.946,02;G16 EMPREENDIMENTOS IMOBILIARIOS LTDA;3.414,57;R   SAO BERNARDO 00720 ;15/02/2017;MARIO TIBURCIO TIBERIO;;MARIO TIBURCIO TIBERIO;;
Fevereiro;SMUL/RESID-2        ;PINHEIROS                     ;2016.02.553-02;2014-0.071.695-7;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;13/03/2014;083.097.0044-1;R2V-01; ZM-2/012;Z2.;PINHEIROS;16.870,07;TDSP GILBERTO SABINO EMP IMOBILIARIOS LTDA;3.899,77;R   GILBERTO SABINO 000065 ;23/02/2017;ISRAEL MAIA;;WILSON MARCHI JUNIOR;;B: 1 P: 28 U: 104
Fevereiro;SMUL/RESID-2        ;PINHEIROS                     ;2017.02.736-00;2016-0.080.710-7;ALVARA DE EXECUCAO DE REFORMA;05/04/2016;015.048.0067-2;R2V;;Z2.;.;;CONDOMINIO EDIFICIO BARAO DE IBITINGA;;AV  PEDROSO DE MORAIS 00025 APTO 31;10/02/2017;GISLEI DA SILVA TOZZO;;GISLEI DA SILVA TOZZO;;
Fevereiro;SMUL/RESID-2        ;PINHEIROS                     ;2017.03.518-00;2014-0.071.695-7;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;13/03/2014;083.097.0044-1;R2V; ZM-2/012;Z2.;PINHEIROS;;TDSP GILBERTO SABINO EMP IMOBILIARIOS LTDA;;R   GILBERTO SABINO 000065 ;22/02/2017;ISRAEL MAIA;;WILSON MARCHI JUNIOR;;
Fevereiro;SMUL/RESID-2        ;SANTANA/ TUCURUVI              ;2017.02.735-00;2015-0.227.865-7;ALVARA DE APROVACAO DE EDIFICACAO NOVA;27/08/2015;069.115.0074-5;R2V; ZM-2/002 / EETU;Z2.;SANTANA;13.693,71;JOAO BASILIO GASPARINI;1.644,06;R   CARLOS CAMARGO ARANHA 00164 ;10/02/2017;FAO BUILDING ENGENHARIA LTDA;FLAVIO BORBA DE OLIVEIRA;VILLAVECCHIA ARQUITETURA EIRELI;PEDRO LUIS MORAES VILLAVECCHIA;B: 1 P: 19 U: 124
Fevereiro;SMUL/RESID-2        ;SANTANA/ TUCURUVI              ;2017.03.504-00;2014-0.222.664-7;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;12/08/2014;069.150.0038-0;R2H; EETU;Z2.;SANTANA;;NACIOLINDA VITORINO DA CRUZ OBERS;;R   ALVARO DE ABREU 00150 ;22/02/2017;LARISSA CALIL COLI;;CARLOS EDUARDO LOPES DE OLIVEIRA;;
Fevereiro;SMUL/RESID-2        ;SANTO AMARO                   ;2017.03.652-00;2015-0.261.148-8;ALVARA DE APROVACAO DE EDIFICACAO NOVA;01/10/2015;086.096.0061-0;R2V; EETU;ZONA MISTA DE BAIXA DENSIDADE.;CAMPO BELO;7.492,10;VILLAGIO SPE4 PARTICIPACOES LTDA.;1.000,00;R   MORAIS DE BARROS 750 ;23/02/2017;KALLAS INCORPORACOES E CONSTRUCOES S.A.;EMILIO RACHED ESPER KALLAS;LUIZ EDUARDO OLIVEIRA ARQUITETOS LTDA;;B: 1 P: 15 U: 48
Fevereiro;SMUL/RESID-2        ;SAO MIGUEL                    ;2017.03.507-00;2012-0.334.251-5;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;29/11/2012;112.396.0083-5;R2V; ZM-2;Z2.;VILA JACUI;;PLAZA FORTUNA SPE EMPREENDIMENTOS IMOBILIÁRIOS LTDA;;AV  AFONSO LOPES DE BAIAO 000142 ;22/02/2017;JOEL JOSE ABRAO DA CRUZ;;JOEL JOSE ABRAO DA CRUZ;;
Fevereiro;SMUL/RESID-2        ;SE                            ;2015.08.416-02;2015-0.331.338-3;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;11/12/2015;034.023.0065-6;R2V-01;;Z2.;CAMBUCI;10.720,60;PARTIFIB PROJETOS IMOBILIARIOS TEODURETO LTDA;2.580,59;R   TEODURETO SOUTO 000501 ;15/02/2017;;;;;B: 1 P: 21 U: 80
Fevereiro;SMUL/RESID-2        ;SE                            ;2015.15.725-01;2016-0.220.011-0;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;28/09/2016;005.040.0990-7;R2V-01; ZEIS-5;OU CENTRO   0003                     SU;LIBERDADE;7.709,54;MAC ARIZONA EMPREENDIMENTOS IMOBILIARIOS LTDA;996,07;R   CONSELHEIRO FURTADO 00130 ;22/02/2017;MAURICIO LUIS OLIVA VILLARNOBO;;"DEMOSTHENES MAGNO SANTOS; RUBIO & LUONGO ARQUITETURA LIMITADA";;B: 1 P: 17 U: 200
Fevereiro;SMUL/RESID-2        ;SE                            ;2017.03.081-00;2015-0.300.627-8;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;10/11/2015;019.105.0037-2;R2V-02; ZCP-B/003;Z3-078.;BARRA FUNDA;;BLUE BIRD EMPREENDIMENTOS IMOBILIARIOS LTDA;;R   ANHANGUERA 00374 E  416;15/02/2017;CYRELA CONSTRUTORA LTDA;FLAVIO KANTOR CUPERMAN;JONAS BIRGER;;
Fevereiro;SMUL/RESID-2        ;SE                            ;2017.03.503-00;2016-0.099.359-8;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;29/04/2016;006.021.0011-9;"R2V; NR1"; ZC;Z5-002.;REPUBLICA;77,78;SERRA AZUL ADMINISTRACAO DE BENS LTDA SC          ;364,94;R   ALVARO DE CARVALHO 00326 E 334;22/02/2017;PAULO TAUFIK CAMASMIE JUNIOR;;PAULO TAUFIK CAMASMIE JUNIOR;;B: 1 P: 7 U: 12
Fevereiro;SMUL/RESID-2        ;SE                            ;2017.03.505-00;2015-0.219.786-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;20/08/2015;001.024.0031-8;R2V; ZM-3A/001;Z2.;LUZ;8.245,20;AAMR - 17 EMPREENDIMENTO IMOBILIARIO LTDA.        ;1.112,84;R   PLINIO RAMOS 00173 E 179;22/02/2017;ALEXANDRE CHIARADIA BRAGA;;;;B: 1 P: 17 U: 264
Fevereiro;SMUL/RESID-2        ;SE                            ;2017.03.753-00;2013-0.378.626-1;RECONSIDERACAO DE DESPACHO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;26/12/2013;006.011.0034-4;R2V-01; ZCP-B/005;Z3-118.;CONSOLACAO;;KARIBU PARTICIPAÇOES IMOBILIARIAS LTDA E OUTROS;;R   AUGUSTA 00108 B;24/02/2017;BROOKFIELD SAO PAULO EMPREENDIMENTOS IMOBILIARIOS S.A;JOSE DE ALBUQUERQUE;ROBERTO CANDUSSO ARQUITETOS ASSOCIADOS LTDA;;
Fevereiro;SMUL/RESID-2        ;VILA MARIANA                  ;2017.02.552-00;2015-0.339.675-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;21/12/2015;045.042.0012-0;R2V; EETU;ZONA MISTA DE BAIXA DENSIDADE.;SAUDE;11.891,97;TRISUL ANTRHISCUS EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;1.663,47;AL  DAS BONINAS 00306 ;08/02/2017;ROBERTO PASTOR JUNIOR;;MARTA DA SILVA ARDITO;;B: 1 P: 19 U: 84
Fevereiro;SMUL/RESID-2        ;VILA MARIANA                  ;2017.02.733-00;2015-0.334.249-9;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;15/12/2015;047.064.0010-4;R2V; ZM-3A/012;Z2.;SAUDE;5.232,66;ANTONIO TAVARES TEVES;1.150,00;R   VISCONDE DE INHAUMA 572 ;10/02/2017;HARUO ISHIKAWA;;RUBIO & LUONGO ARQUITETURA LIMITADA;DEMOSTHENES MAGNO SANTOS;B: 1 P: 9 U: 64
Fevereiro;SMUL/RESID-2        ;VILA MARIANA                  ;2017.03.645-00;2013-0.376.292-3;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;20/12/2013;309.006.0044-3;R2V-01; ZM-3B/011;Z3-189.;SAUDE;4.387,96;OMNI PARTICIPACOES E IMOVEIS LTDA;1.106,82;R   DR FRANCISCO JOSE LONGO 229 ;23/02/2017;DECIO TADEU DE LIMA BECK;;DECIO TADEU DE LIMA BECK;;B: 1 P: 9 U: 25
Fevereiro;SMUL/RESID-2        ;VILA PRUDENTE                 ;2016.13.575-01;2016-0.201.364-7;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;02/09/2016;102.106.0095-1;R2V-01; ZM;Z2.;VILA SANTA CLARA;4.570,58;3PLUS SPE EMPREENDIMENTOS IMOB E INCFORP LTDA;2.785,50;R   ANTONIO BAIAO 00015 ;22/02/2017;MARCIO TETAMANTI;;MARCIO TETAMANTI;;"B: 1 P: 3 U: 27; B: 1 P: 3 U: 17"
Fevereiro;SMUL/RESID-2        ;VILA PRUDENTE                 ;2017.03.506-00;2016-0.184.612-2;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;12/08/2016;051.135.0023-2;R2H-03; ZM;ZONA MISTA DE MEDIA DENSIDADE.;VILA ALPINA;295,76;MARCELLO MANTENUTO;300,00;R   CATUABA 00476 ;22/02/2017;KLEBER JAMAS CASTRO;;KLEBER JAMAS CASTRO;;B: 1 P: 2 U: 3
Fevereiro;SMUL/RESID-3        ;CASA VERDE/ CACHOEIRINHA       ;2017.02.321-00;2013-0.149.863-3;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;24/05/2013;305.089.0104-6;R2V-01; ZCP-A/001;Z2.;VL BELA VISTA;;MMC FORTE PARTICIPACOES LTDA;;AV  PARADA PINTO 001680 ;03/02/2017;MIRMAN EMPREENDIMENTOS E INCORPORACOES LTDA.;EDSON YOSHIO SAITO;OCTAVIO DE SIQUEIRA ARQUITETURA S/S LTDA;OCTAVIO DE SIQUEIRA FERREIRA;
Fevereiro;SMUL/RESID-3        ;JABAQUARA                     ;2016.20.969-01;2014-0.321.372-7;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;12/11/2014;089.151.0001-8;"NR1-03; NR1-02; R2V-01";;Z2.;VL. SANTA CATARINA;;TORTUE EMPREENDIMENTOS IMOBILIARIOS LTDA.;;R   DOUTOR DJALMA PINHEIRO FRANCO 000829 ;15/02/2017;;;;;
Fevereiro;SMUL/RESID-3        ;LAPA                          ;2014.23.581-01;2017-0.008.271-6;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;13/01/2017;022.033.0072-8;R2V-01;;Z3-098.;VILA POMPEIA;68,22;condominio edificio perdizes top class;1.075,00;R   CARAIBAS 00326 ;09/02/2017;;;;;B: 1 P: 21 U: 38
Fevereiro;SMUL/RESID-3        ;MOOCA                         ;2017.02.411-00;2013-0.340.699-0;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;18/11/2013;054.125.0060-9;R2V; ZM-3B/017;Z3-126.;ESQU.R.AGUAPEI 750 7;29.886,65;HERNANDEZ CONSTRUTORA E INCORPORADORA LTDA;4.479,65;R   ALCACER-KEHIR 00023 ;06/02/2017;"ABILIO CESAR DE OLIVEIRA; HELENA ALONSO HERNANDEZ LULAI";;JOEL JOSE ABRAO DA CRUZ;;B: 2 P: 28 U: 100
Fevereiro;SMUL/RESID-3        ;PINHEIROS                     ;2017.02.962-00;2016-0.138.046-8;ALVARA DE LICENCA PARA RESIDENCIAS UNIFAMILIARES;16/06/2016;013.021.0012-2;R1; ZC;ZONA MISTA DE ALTA DENSIDADE - B.;PINHEIROS;84,15;RENATA MATTOS DE QUEIROZ;172,03;R   CRISTIANO VIANA 00738 CASA 6 E 7;14/02/2017;DANIEL FERREIRA BONADIA;;ANDRE MAIA LUQUE;;B: 0 P: 2 U: 0
Fevereiro;SMUL/RESID-3        ;PIRITUBA                      ;2016.21.545-01;2013-0.376.461-6;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;20/12/2013;077.034.0003-3;"R2V; R2V-01"; ZM-3A/004;ZONA MISTA DE ALTA DENSIDADE - A.;VL PEREIRA BARRETO;9.165,36;PAULO RICARDO ZEMELLA MIGUEL E OUTROS;2.145,00;R   CELSO VIEIRA 99999 ;14/02/2017;;;;;B: 1 P: 13 U: 104
Fevereiro;SMUL/RESID-3        ;VILA MARIANA                  ;2016.25.486-02;2014-0.171.188-6;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;24/06/2014;037.052.0074-7;R2V; ZM-3A/007;Z2.;VILA MARIANA;9.230,62;CAUCASO CONSTRUTORA LTDA;1.822,37;R   CAPITAO MACEDO 000030 ;24/02/2017;;;;;B: 1 P: 21 U: 38
Fevereiro;SMUL/RESID-3        ;VILA MARIANA                  ;2017.03.273-00;2016-0.262.471-9;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;28/11/2016;309.044.0239-5;R2V; ZEU;Z3-189.;CHACARA INGLESA;;GT 21 EMPREENDIMENTOS IMOBILIARIOS LTDA;;R   BERTIOGA 00123 ;17/02/2017;PAULA RENATA MARTINI BAGAROLLO TIBERIO;;ALEXANDRE MENDONCA MILLEU;;
Fevereiro;SMUL/RESID-3        ;VILA MARIANA                  ;2017.03.747-00;2014-0.171.188-6;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;24/06/2014;037.052.0074-7;R2V-01; ZM-3A/007;Z2.;VILA MARIANA;;CAUCASO CONSTRUTORA LTDA;;R   CAPITAO MACEDO 000030 ;24/02/2017;CAUCASO CONSTRUTORA LTDA;JOSE CARLOS DISTCHEKENIAN ANITABLIAN;ARQUITETO MARCOS FERREIRA GAVIAO E ASSOCIADOS S/S LTDA;;
Fevereiro;SMUL/SEGUR/G        ;SANTANA/ TUCURUVI              ;2017.02.230-00;2012-0.217.889-4;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;31/07/2012;073.039.0055-1;NR3; ZCP-A/004;Z8-030.;SANTANA;;CONDOMINIO EDIFICIO CRUZEIRO DO SUL;420,00;AV  CRUZEIRO DO SUL 03153 ;02/02/2017;MIGUEL DE LUCA JUNIOR;;;;
Fevereiro;SMUL/SEGUR/G        ;VILA MARIA/ VILA GUILHERME     ;2017.03.553-00;2012-0.314.771-2;RECONS. DE DESPACHO DE ALVARA DE APROV. E EXEC. P/ INSTALACAO DE EQUIPAMENTO;05/11/2012;068.207.0033-4;NR2-03; ZCP-A/003;Z2.;VILA PAIVA;;AUTO POSTO JALISCO LTDA;;AV  CONCEICAO 02017 ;22/02/2017;;;;;
