Mês;Unidade;Subprefeitura;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades"
maio;SEL-G               ;IPIRANGA                      ;2016.10.021-00;2003-1.038.539-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;23/10/2003;;I2;;Z6-034.;IPIRANGA;;RONI LINETZKW WAITZBERG;1.500,00;R   CAMPANTE 776 ;31/05/2016;OSMAR DIAS DOS SANTOS;;;;
maio;SEL-G               ;ITAQUERA                      ;2016.10.023-00;2003-1.014.155-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;11/09/2003;;"C2.3; S2.1";;Z3-113.;ITAQUERA;;PAULO TAKENORI MITURANI;400,00;R     AMERICO SALVADOR NOVELLI 254 262 LT 4 QD 8;31/05/2016;SERGIO NATUMI;;;;
maio;SEL-G               ;MOOCA                         ;2016.08.770-00;2003-1.026.788-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/09/2003;;I2;;Z6-031.;MOOCA;;JULI PARTICIPACOES S/A;2.296,76;R   CADIRIRI 01240 ;11/05/2016;LUIZ CARLOS CASTAN;;;;
maio;SEL-G               ;SANTANA/ TUCURUVI              ;2016.10.015-00;2003-1.055.466-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;21/11/2003;;S2.8;;Z3-044.;SANTANA;;MARIA THEREZINHA PEREIRA DE SOUZA;620,74;R   VOLUNTARIOS DA PATRIA 3341 ;31/05/2016;;;;;
maio;SEL-G               ;SAO MATEUS                    ;2016.08.507-00;2013-0.120.721-3;ALVARA DE DESDOBRO DE LOTE;26/04/2013;;R2H-01;;Z9-009.;JARDIM BANDEIRANTE;;EMERSON PIOVEZAN;269,20;R   CELSO BETIM 099999 QDA 3 LOTE 31;06/05/2016;SIMONE MARIA CANTELLI DE OLIVEIRA;;SIMONE MARIA CANTELLI DE OLIVEIRA;;
maio;SEL-G               ;SAO MATEUS                    ;2016.08.508-00;2013-0.120.721-3;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;26/04/2013;;R2H-01;;Z9-009.;JARDIM BANDEIRANTE;263,09;EMERSON PIOVEZAN;269,20;R   CELSO BETIM 099999 QDA 3 LOTE 31;06/05/2016;SIMONE MARIA CANTELLI DE OLIVEIRA;;SIMONE MARIA CANTELLI DE OLIVEIRA;;B: 1 P: 2 U: 3
maio;SEL-G               ;SAPOPEMBA                     ;2015.28.038-01;2016-0.088.567-1;APOSTILAMENTO DE AUTO DE REGULARIZACAO;13/04/2016;;EHIS;;  ;ITAQUERA;;CIA DESENV HABITAC E URBANO DO EST SAO PAULO CDHU;8.944,80;R   LEON BURBURE 000100 140;11/05/2016;;;;;
maio;SEL-G               ;SAPOPEMBA                     ;2015.28.039-01;2015-0.266.980-0;APOSTILAMENTO DE AUTO DE REGULARIZACAO;06/10/2015;;EHIS;;  ;ITAQUERA;;CIA DESENV HABITAC E URBANO DO EST SAO PAULO CDHU;4.095,35;R   LEON BURBURE 000100 140;25/05/2016;;;;;
maio;SEL-G               ;SAPOPEMBA                     ;2015.28.042-01;2016-0.088.556-6;APOSTILAMENTO DE AUTO DE REGULARIZACAO;13/04/2016;;EHIS;;  ;ITAQUERA;;CIA DESENV HABITAC E URBANO DO EST SAO PAULO CDHU;3.849,33;R   LEON BURBURE 000100 140;11/05/2016;;;;;
maio;SEL-G               ;SAPOPEMBA                     ;2016.04.972-01;2015-0.321.711-2;APOSTILAMENTO DE AUTO DE REGULARIZACAO;03/12/2015;;EHIS;;Z2.;ITAQUERA;;CIA DESENV HABITAC E URBANO DO EST SAO PAULO CDHU;1.888,86;R   LEON BURBURE 000100 140;31/05/2016;;;;;
maio;SEL-G               ;SAPOPEMBA                     ;2016.09.590-00;2016-0.050.348-5;AUTO DE REGULARIZACAO;02/03/2016;;EHIS;;Z2.;ITAQUERA;;CIA DESENV HABITAC E URBANO DO EST SAO PAULO CDHU;4.226,21;R   LEON BURBURE 000100 140;23/05/2016;AGUINALDO LOPES QUINTANA NETO;;LIENNE MARIA LIARTE;;
maio;SEL-G               ;SE                            ;2016.09.299-00;2013-0.203.118-6;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;18/07/2013;;NR1-04;;Z5-003.;CERQUEIRA CESAR;485,20;SILVIO SANTOS PARTICIPACOES SA;970,30;AV  PAULISTA 02240 ;18/05/2016;EDUARDO VELUCCI;;SIDONIO PORTO ARQUITETOS ASSOCIADOS LTDA;SIDONIO MARCIO ALVES PORTO;B: 1 P: 18 U: 0
maio;SEL-G               ;SE                            ;2016.09.372-00;2003-1.035.643-8;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;10/10/2003;;C2.3;;Z5-002.;SE;;THEREZINHA DELFIM STEFANI E OUTROS;797,57;R   GLICERIO 000084 86 E 90;19/05/2016;SERGIO ANTONIO MARRA;;;;
maio;SEL-G               ;SE                            ;2016.09.737-00;2002-0.289.506-4;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE ACESSIBILIDADE;10/12/2002;;S1.1;;Z5-002.;CENTRO;;CONDOMINIO EDIFICIO BOA VISTA;;R   BOA VISTA 00063 ;25/05/2016;LELIA APARECIDA NOGUEIRA HAMERMESZ;;;;
maio;SEL-G               ;SE                            ;2016.10.016-00;2003-1.017.140-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;17/09/2003;;"C2; S2";;Z8-CR3 LIND. Z2.;CONSOLACAO;;CONSTRUTORA ELIAS VICTOR NIGRI LTDA;1.660,17;AV  ANGELICA 01992 LJ 1;31/05/2016;JUCELINO CECEL PEIXOTO DOS SANTOS;;JUCELINO CECEL PEIXOTO DOS SANTOS;;
maio;SEL-G               ;VILA MARIA/ VILA GUILHERME     ;2016.09.370-00;2003-1.066.932-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;;S2.8;;Z2.;VILA GUILHERME;;OFOS-TECN., COMERCIO E SERVICOS CONTRA INCENDIO LTDA-EPP;696,29;R   NELSON 00453 ;19/05/2016;;;;;
maio;SEL-G               ;VILA MARIA/ VILA GUILHERME     ;2016.09.376-00;2013-0.315.310-2;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;23/10/2013;;H.M.P;;Z2.;VL. GUILHERME;522,80;OFELIA SCONAMIGLIO GRILLI;337,19;R   CAPITAO LUIS RAMOS 00614 ;19/05/2016;MARCIO CORDEIRO VAZ;;MARCIO CORDEIRO VAZ;;B: 1 P: 2 U: 6
maio;SEL-G               ;VILA MARIA/ VILA GUILHERME     ;2016.10.018-00;2004-1.009.416-8;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;07/12/2004;;S3.1;;Z2.;VLGUILHERME;;RUBENS DA SILVA RAMOS;803,16;R   LEONOR F.COSTA ZACHARIAS 01986 ;31/05/2016;MARCUS VINICIUS A. N. MONTEIRO;;;;
maio;SEL/GTEC            ;CAPELA DO SOCORRO             ;2016.09.133-00;2003-1.003.423-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;29/07/2003;;C3;;Z6-045.;GUARAPIRANGA;;JOAO ALFREDO DA SILVA;2.802,06;AV  GUARAPIRANGA 00795 ;17/05/2016;MARINA CRUZ BETZIOS;;;;
maio;SEL/GTEC            ;CASA VERDE/ CACHOEIRINHA       ;2016.09.095-00;2003-1.058.980-7;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;;"S2.1; C2.3";;Z3-049.;N S DO O;;ESPOLIO DE CARLOS FERNANDES DE SOUZA;321,69;PC  MARCO ANTONIO PRIMON MAESTRE 00040 E 44;16/05/2016;ANTONIO CARLOS PEREIRA;;;;
maio;SEL/GTEC            ;IPIRANGA                      ;2016.09.131-00;2003-1.064.224-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;;E3.5;;Z2.;SAO JOAO CLIMACO;;IGREJA PRESBITERIANA R S J CLIMACO;731,70;R   SAO JOAO CLIMACO 00430 ;17/05/2016;MICHEL RACHID MALUF JUNIOR;;;;
maio;SEL/GTEC            ;IPIRANGA                      ;2016.09.136-00;2003-1.019.527-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;19/09/2003;;"S2.9; C1.2";;Z2.;VILA NAIR;;D.P.L.- EDITORA E DISTRIBUIDORA DE LIVROS LTDA.;240,00;R   CINCO DE JULHO 00059 ;17/05/2016;JANDERSON ANTONIO DE BEI;;;;
maio;SEL/GTEC            ;ITAIM PAULISTA                ;2016.09.154-00;2004-1.009.382-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;06/12/2004;;"R; C1";;Z3-041.;ITAIM PAULISTA;;PAULO MARTINS GOMES;342,12;R   SEVERINO B.DE MENEZES 00123 ;17/05/2016;SECUNDINO PIRES DOS SANTOS NETO;;;;
maio;SEL/GTEC            ;ITAQUERA                      ;2016.09.097-00;2003-1.058.545-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;;"E2.2; S2.1; C2.4";;Z2.;CANGABA;;MARCELO FRANCISCO MORGADO;1.401,68;PC  ANA DAS DORES CARVALHO 00005 ;16/05/2016;AILTON PAULA DIAS;;;;
maio;SEL/GTEC            ;LAPA                          ;2016.08.366-00;2003-1.045.171-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;14/11/2003;;E3.3;;  ;VILA ROMANA;;AMICO SAUDE LTDA;5.770,80;R   MARCELINA 000441 461 499;04/05/2016;EDUARDO DE SA FORTES GULLINO;;;;
maio;SEL/GTEC            ;LAPA                          ;2016.09.138-00;2003-1.041.014-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;04/11/2003;;C2.2;;Z6-015.;VILA LEOPOLDINA;;REINALDO PAVANI;517,12;R   AROABA 235 237;17/05/2016;;;;;
maio;SEL/GTEC            ;PENHA                         ;2016.09.148-00;2003-1.063.790-9;AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;;"C2.2; C2.3; C3";;Z6-048.;PENHA;;PAES MENDONCA S/A;63.051,77;AV  CONDESSA E.DE ROBIANO 5500 ;17/05/2016;SERGIO ANTONIO MARRA;;;;
maio;SEL/GTEC            ;PINHEIROS                     ;2016.09.141-00;2003-1.009.521-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;27/08/2003;;C2.3;;Z8-CR4 LIND. Z2.;ITAIM BIBI;;ELGIN MAQUINAS S/A.;690,90;AV  CIDADE JARDIM 00929 ;17/05/2016;ALAN CESAR GIOVANONI MENDES;;;;
maio;SEL/GTEC            ;PINHEIROS                     ;2016.09.143-00;2003-1.026.320-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/09/2003;;C2.3;;Z3-139.;JARDIM PAULISTA;;COMPANHIA BRASILEIRA DE DISTRIBUICAO;1.152,00;AL  SANTOS 02071 E 2087;17/05/2016;SERGIO ANTONIO MARRA;;;;
maio;SEL/GTEC            ;PINHEIROS                     ;2016.09.191-00;2003-1.044.180-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;13/11/2003;;E2.4;;Z2.;OSO;;PREFEITURA DO MUNICIPIO DE SAO PAULO;3.827,75;AV  HORACIO LAFER 00540 560 E 590;17/05/2016;RONALDO OCAÑA;;;;
maio;SEL/GTEC            ;PINHEIROS                     ;2016.09.379-00;2003-1.045.647-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;17/11/2003;;E3.1;;Z4-062.;BROOKLIN PAULISTA;;INSTITUTO BEATISSIMA VIRGEM MARIA;9.669,77;AV  MORUMBI 8576 8652;19/05/2016;;;;;
maio;SEL/GTEC            ;SANTO AMARO                   ;2015.11.755-02;2016-1.000.025-7;APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;27/04/2016;;E3.1;;  ;SANTO AMARO;;AP AREAL PARTICIPACOES S/A;15.069,29;R   ISABEL SCHMIDT 000411 ;05/05/2016;;;;;
maio;SEL/GTEC            ;SAO MIGUEL                    ;2016.09.146-00;2003-1.002.401-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;23/07/2003;;C2.3;;Z2.;JARDIM HELENA;;COMPANHIA BRASILEIRA DE DISTRIBUICAO;3.571,48;AV  OLIVEIRA FREIRE 01111 1189;17/05/2016;SERGIO ANTONIO MARRA;;;;
maio;SEL/GTEC            ;SE                            ;2016.09.096-00;2004-1.014.964-7;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;27/12/2004;;C2.2;;Z5-002.;CONSOLACAO;;SALLES PARTICIPACAO E ADM. DE BENS LTDA;774,00;R   ALVARO DE CARVALHO 00040 PREDIO;16/05/2016;ALINE OSTROWSKA DIAS;;;;
maio;SEL/GTEC            ;SE                            ;2016.09.132-00;2003-1.001.759-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;18/07/2003;;"R; C3.5";;Z3-078.;BARRA FUNDA;;NORMA MARQUES GALVAO;217,35;R   ANHANGUERA 00051 ;17/05/2016;ALEX PIRES DOS SANTOS;;;;
maio;SEL/GTEC            ;VILA MARIA/ VILA GUILHERME     ;2016.09.128-00;2004-1.016.019-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;27/12/2004;;E2.1;;Z2.;VILAGUILHERME;;NESTOR AUGUSTO COELHO  FILHO;200,80;R   CASSIO DE ALMEIDA 00234 ;17/05/2016;LAURA LUCIA ARAUJO DA SILVA RAMALHO;;;;
maio;SEL/GTEC-1          ;BUTANTA                       ;2016.09.124-00;2003-1.055.299-7;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;21/11/2003;;R1;;Z1-014.;JD. LEONOR;;CELINA APOVIAN CERQUEIRA;704,94;R   PROFESSOR GABRIEL ORTIZ 000215 LT 32 QD 8;17/05/2016;FABIO NASCIMENTO FAIRBANKS;;;;
maio;SEL/GTEC-1          ;CASA VERDE/ CACHOEIRINHA       ;2016.08.096-00;2003-1.030.295-8;AUTO DE REGULARIZACAO LEI N:13.558/2003;26/09/2003;;"C1.1; R";;Z9-053.;JARDIM PERI;;SEVERINO ANTONIO DE CARVALHO;148,20;R   DARIO VILARES BARBOSA 00051 ;02/05/2016;;;;;
maio;SEL/GTEC-1          ;CASA VERDE/ CACHOEIRINHA       ;2016.08.475-00;2003-1.065.466-8;AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;;S2.8;;Z3-035.;CASA VERDE;;VANDERLEI DE SOUSA SILVEIRA;1.111,00;R   DOUTOR MARIO PINTO SERVA 00090 ;05/05/2016;RENE ELMADJIAN;;;;
maio;SEL/GTEC-1          ;IPIRANGA                      ;2016.08.692-00;2003-1.064.999-0;AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;;"R202; C1";;Z4-041.;IPIRANGA;;ANDREA JORGE ABRAHAO;400,00;R   CIPRIANO BARATA 000811 ;10/05/2016;EDSON BERNINI;;;;
maio;SEL/GTEC-1          ;MOOCA                         ;2016.08.274-00;2003-1.053.849-8;AUTO DE REGULARIZACAO LEI N:13.558/2003;21/11/2003;;"C2.3; C2.2; I1";;Z4-020.;BRAS;;IGNEZ DA CONCEICAO DIAS DE ABREU E OUTROS;1.747,81;R   MARIA MARCOLINA 00389 391 E 393;03/05/2016;CLICIA MARIA SANTOS LEITE;;;;
maio;SEL/GTEC-1          ;VILA MARIA/ VILA GUILHERME     ;2016.09.681-00;2003-1.003.566-6;AUTO DE REGULARIZACAO LEI N:13.558/2003;30/07/2003;;S3.2;;Z2.;VILAGUILHERME;;WANDERLEI TOGNOZZI;405,00;AV  GUILHERME 00385 ;24/05/2016;;;;;
maio;SEL/GTEC-1          ;VILA PRUDENTE                 ;2016.09.611-00;2003-1.050.337-6;AUTO DE REGULARIZACAO LEI N:13.558/2003;20/11/2003;;"C2.3; S1.1";;Z2.;VPRUDENTE;;MANUEL LEZANA MARTIN;490,00;R   MARCELLO MULLER 00950 ;23/05/2016;RUBENS LEZANA MARTIN;;RUBENS LEZANA MARTIN;;
maio;SEL/PARHIS/G        ;PENHA                         ;2016.08.232-00;2007-0.387.157-5;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;18/12/2007;;H.I.S;;Z2.;VILA ARICANDUVA;401,36;ESPOLIO DE INANILDO ALBUQUERQUE DO NASCIMENTO;504,00;AV  IBIUNA 000062 ;03/05/2016;ODETE DOS SANTOS;;ODETE DOS SANTOS;;B: 1 P: 2 U: 0
maio;SEL/PARHIS/G        ;PENHA                         ;2016.08.818-00;2014-0.019.296-6;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;22/01/2014;;EHMP;;Z2.;PENHA;500,19;RESIDENCIAL PENHA VILLE II SPE LTDA;292,50;R   BENEDITO OTONI 00130 ;12/05/2016;THIAGO PAVAN BARBOZA;;THIAGO PAVAN BARBOZA;;B: 1 P: 2 U: 5
maio;SEL/PARHIS/G        ;;2016.08.073-00;2014-0.355.956-9;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;19/12/2014;;HIS 2;;  ;GUIANAZES;8.828,65;TENDA NEGOCIOS IMOBILIAROS S/A;9.499,09;R   RAPOSO DA FONSECA 000000 ;02/05/2016;LUIZ MARCELO FERREIRA BASTOS;;AMANDA DA SILVA BEZERRA;;"B: 10 P: 5 U: 20; B: 1 P: 1 U: 1"
maio;SEL/PARHIS-1        ;CAMPO LIMPO                   ;2014.21.243-01;2016-0.026.617-3;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;03/02/2016;;"H.M.P; HIS 2";;Z2.;PQ BAIRRO MORUMBI;8.055,32;PLANO MOGNO EMPREENDIMENTOS IMOBILIARIOS LTDA.;3.966,00;R   DOUTOR JOSE PEDRO DE C.LIMA 000405 ;20/05/2016;RODRIGO FAIRBANKS VON UHLENDORFF;;RODRIGO SOBREIRO ARQUITETOS LTDA;RODRIGO SOBREIRO;B: 1 P: 21 U: 166
maio;SEL/PARHIS-1        ;CASA VERDE/ CACHOEIRINHA       ;2016.09.430-00;2011-0.292.117-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;13/10/2011;;"HIS; H.M.P; NR1";;Z2.;CACHOEIRINHA;11.431,32;ANTONIO AUGUSTO SAMPAIO;3.202,38;AV  IMIRIM 00000 ;19/05/2016;;;ELIEZER SANCHES SANTOS;;B: 1 P: 16 U: 120
maio;SEL/PARHIS-1        ;ERMELINO MATARAZZO            ;2016.08.496-00;2015-0.230.430-5;ALVARA DE APROVACAO DE EDIFICACAO NOVA;31/08/2015;;HIS 1;;ZEIS-2      1017    SUBPREF.ERMELINO MA;PONTE RASA;6.185,97;PREFEITURA DO MUNICIPIO DE SAO PAULO;2.567,00;R   CAMPO DAS PITANGUEIRAS 000000 ;06/05/2016;EDSON CARLOS FALEIROS;;LUIZ AUGUSTO OLIVEIRA MARTINS;;"B: 1 P: 9 U: 45; B: 1 P: 9 U: 44"
maio;SEL/PARHIS-1        ;GUAIANASES                    ;2015.18.824-02;2016-0.068.346-7;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;22/03/2016;;"H.M.P; HIS 1; HIS 2";;Z2.;JARDIM SAO PAULO;10.656,63;TENDA NEGOCIOS IMOBILIARIOS SA;6.436,70;R   CUSTODIO PAIVA 000205 ;06/05/2016;;;;;"B: 12 P: 5 U: 20; B: 1 P: 1 U: 0"
maio;SEL/PARHIS-1        ;GUAIANASES                    ;2016.08.511-00;2012-0.142.540-5;ALVARA DE DESDOBRO DE LOTE;18/05/2012;;;;Z2.;GUAIANAZES;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;12.105,35;AV  NORDESTINA 07270 ;06/05/2016;PEDRO JOEL MEROTTI;;LUIZ AUGUSTO OLIVEIRA MARTINS;;
maio;SEL/PARHIS-1        ;GUAIANASES                    ;2016.08.512-00;2012-0.142.540-5;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;18/05/2012;;HIS 1;;Z2.;GUAIANAZES;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;12.105,35;AV  NORDESTINA 07270 ;06/05/2016;PEDRO JOEL MEROTTI;;LUIZ AUGUSTO OLIVEIRA MARTINS;;
maio;SEL/PARHIS-1        ;GUAIANASES                    ;2016.81.731-01;2016-0.101.906-4;APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO;03/05/2016;;"H.M.P; HIS";ZONEAMENTO ANTERIOR: Z9-006.;;GUAIAEZES;;GRAZIANI & ALMEIDA CONSTRUCOES E INCORPORACOES LTD;;R   LUIS MATEUS 002420 ;24/05/2016;;;;;
maio;SEL/PARHIS-1        ;IPIRANGA                      ;2016.08.252-00;2012-0.100.649-6;ALVARA DE APROVACAO DE EDIFICACAO NOVA;05/04/2012;;EHIS;;Z3-155.;IPIRANGA;1.469,56;MAYRA PAOLIELLO;440,75;R   XAVIER CURADO 000279 ;03/05/2016;CAIO AUGUSTO PAOLIELLO;;CAIO AUGUSTO PAOLIELLO;;B: 1 P: 4 U: 24
maio;SEL/PARHIS-1        ;ITAQUERA                      ;2016.08.328-00;2016-0.054.904-3;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;08/03/2016;;"HIS 2; R2V-02; H.M.P";;Z2.;ITAQUERA;;CONSTRUTORA GABRIELLI;;R   FONTOURA XAVIER 099999 LTS 4 A 9 QD 41;04/05/2016;RODRIGO FAIRBANKS VON UHLENDORFF;;RODRIGO FAIRBANKS VON UHLENDORFF;;
maio;SEL/PARHIS-1        ;ITAQUERA                      ;2016.09.122-00;2009-0.371.696-4;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;22/12/2009;;HIS 2;;Z2.;VILA CARMOSINA;11.433,85;CONSTRUTORA OTAGA LTDA;6.409,00;R   DO IPE ROSA 000000 ;17/05/2016;OSCAR OTAGA;;OSCAR OTAGA;;"B: 1 P: 9 U: 72; B: 1 P: 7 U: 56; B: 1 P: 9 U: 72; B: 1 P: 1 U: 0"
maio;SEL/PARHIS-1        ;ITAQUERA                      ;2016.09.127-00;2014-0.010.408-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;13/01/2014;;"HIS 2; H.M.P";;Z2.;ITAQUERA;20.064,36;MONTEPINO LTDA.;8.964,02;AV  AFONSO DE SAMPAIO E SOUSA 000299 ;17/05/2016;PAULO SERGIO BEYRUTI CURI;;JESSICA SARLI;;"B: 1 P: 3 U: 0; B: 2 P: 19 U: 150; B: 3 P: 1 U: 0"
maio;SEL/PARHIS-1        ;JABAQUARA                     ;2016.08.245-00;2009-0.244.808-7;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;21/08/2009;;R1;;Z2.;VILA SANTA CATARINA;;JOSE ANTONIO RODRIGUES;500,00;R   ALTO DO BONFIM 00176 180;03/05/2016;ALEXANDRE ALVES RODRIGUES;;ALEXANDRE ALVES RODRIGUES;;
maio;SEL/PARHIS-1        ;JACANA/ TREMEMBE               ;2016.08.362-00;2015-0.029.809-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;04/02/2015;;HIS 2;;Z18-005.;JACANA;101,50;MARCELO FRANCISCO DE OLIVEIRA.;123,95;R     BENEDITO ANTONIO GONCALVES 000011 ;04/05/2016;TATIANE HERNANDES;;TATIANE HERNANDES;;B: 1 P: 2 U: 2
maio;SEL/PARHIS-1        ;M BOI MIRIM                   ;2015.02.642-01;2016-0.117.543-0;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;20/05/2016;;H.M.P;;Z2.;JARDIM WANDA;;JARDIM SAO LUIZ SPE INCORPORADORA LTDA;;R   COMEN  ANTUNES DOS SANTOS 000000 ;31/05/2016;;;;;
maio;SEL/PARHIS-1        ;M BOI MIRIM                   ;2016.08.270-00;2015-0.307.630-6;ALVARA DE APROVACAO DE EDIFICACAO NOVA;17/11/2015;;HIS 2;;Z2.;JD CASABLANCA;5.379,93;CONSTRUTORA TENDA SA;4.357,30;R   DR     LUIS TAVARES DA CUNHA 099999 ;03/05/2016;LUIZ MARCELO FERREIRA BASTOS;;AMANDA DA SILVA BEZERRA;;"B: 6 P: 5 U: 20; B: 1 P: 1 U: 0"
maio;SEL/PARHIS-1        ;M BOI MIRIM                   ;2016.09.532-00;2015-0.307.630-6;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;17/11/2015;;HIS 2;;Z2.;JD CASABLANCA;;CONSTRUTORA TENDA SA;;R   DR     LUIS TAVARES DA CUNHA 099999 ;20/05/2016;LUIZ MARCELO FERREIRA BASTOS;;AMANDA DA SILVA BEZERRA;;
maio;SEL/PARHIS-1        ;MOOCA                         ;2016.09.117-00;2015-0.113.741-3;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;04/05/2015;;H.I.S;;Z2.;VILA RIO BRANCO;501,95;JOSE PEREIRA LOPES NETO;500,00;R   CAPITAO FERRAIUOLO 00266 ;17/05/2016;THIAGO PAVAN BARBOZA;;THIAGO PAVAN BARBOZA;;B: 1 P: 2 U: 20
maio;SEL/PARHIS-1        ;MOOCA                         ;2016.09.972-00;2014-0.161.396-5;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;09/06/2014;;"HIS; H.M.P";;Z3-119.;MOOCA;;ERNESTO DE CARVALHO E CIA LTDA;;R   GUARAPUAVA 00174 ;31/05/2016;PAULA RENATA MARTINI BAGAROLLO;;MARCHI ARQUITETURA LTDA.;;
maio;SEL/PARHIS-1        ;PENHA                         ;2016.08.271-00;2014-0.188.644-9;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;11/07/2014;;EHIS;;Z2.;VILA BUENOS AIRES;1.315,28;ALFA 3 CONSTRUTORA E INCORPORADORA LTDA;459,90;R   RAIMUNDO MATTIUZZO 000000 ;03/05/2016;ODETE DOS SANTOS;;ODETE DOS SANTOS;;B: 1 P: 8 U: 0
maio;SEL/PARHIS-1        ;PERUS                         ;2014.16.039-01;2015-0.263.874-2;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;02/10/2015;;"H.M.P; HIS";;Z9-047.;PRQ MORRO DOCE;3.292,65;MOACYR DE MOURA FILHO;1.121,92;R   FRANCISCO BELLAZZI 000332 LT 214 QD A;19/05/2016;CASSIO MEDEIROS MUSSI;;SERGIO VIEIRA DE CAMPOS;;B: 1 P: 5 U: 39
