Mês ;Unidade;Subprefeitura;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades";;;
Abril;SMUL/SEGUR/DLR      ;VILA PRUDENTE                 ;2018.04.876-00;2018-0.019.003-0;REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO;23/02/2018;302.052.0001-7;NR3-04;;ZONA MISTA DE MEDIA DENSIDADE.;IPIRANGA;;CINEMARK BRASIL S/A  -SHOPPING CENTRAL PLAZA;;AV  DR     FRANCISCO MESQUITA 1000 ;02/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DLR      ;;2018.05.950-00;2018-0.018.967-9;ALVARA DE AUTORIZACAO;23/02/2018;205299999;NR3-04;;Z8-200-064.;SE;;CONSULADO GERAL DO PERU;;PQ  DOM PEDRO II 99999 ;18/04/2018;"FLAVIO AMERICO CURTO JACOME DA PAZ; GEORGE DE SOUSA SANTOS";;;;;;;
Abril;SMUL/SEGUR/DLR      ;;2018.06.445-00;2018-0.026.886-2;ALVARA DE AUTORIZACAO;14/03/2018;501599999;NR3-04;;ZONA DE CENTRALIDADE POLAR - B.;CENTRO;;CENTRO ACADEMICO XI DE AGOSTO;;LG  SAO FRANCISCO 95 ;25/04/2018;"FELIPE CESAR BOESCH MUNIZ                                   ; ROBERTO HERNANDEZ ANDRADES";;ROBERTO HERNANDEZ ANDRADES;;;;;
Abril;SMUL/SEGUR/DLR      ;;2018.06.453-00;2018-0.016.526-5;ALVARA DE AUTORIZACAO;19/02/2018;361449999999;NR3-04;;ZONA NAO DEFINIDA.;IBIRAPUERA;;SP ARTE E EVENTOS CULTURAIS LTDA EPP;;AV  PEDRO ALVARES CABRAL 9999 PAVILHAO BIENAL ;25/04/2018;IRACI FERREIRA DOS REIS RONDELLI NOGUEIRA;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;CAMPO LIMPO                   ;2018.04.917-00;2010-0.262.322-3;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;22/09/2010;170.011.0116-7;NR2-03; ZM-3A/003;Z2.;VILA ANDRADE;;AUTO POSTO DUQUE PANAMBY UM LTDA;;R   JOSE RAMON URTIZA 000995 05717270;03/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;CAMPO LIMPO                   ;2018.04.933-00;2010-0.284.393-2;RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;15/10/2010;170.011.0116-7;NR2-03; ZM-3A/003;Z2.;VILA ANDRADE;;AUTO POSTO DUQUE PANAMBY UM LTDA;;R   JOSE RAMON URTIZA 000995 05717270;03/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;CAMPO LIMPO                   ;2018.06.551-00;2017-0.130.978-1;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;17/08/2017;301.074.0304-5;NR2-03; ZM-3A/003;Z2.;CHACARA TANGARA;;PALACIO TANGARA DESENVOLVIMENTO IMOBILIARIO LT;;R   DEPUTADO LAERCIO CORTE 1501 PARQUE BURLE MARX;26/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;CAPELA DO SOCORRO             ;2014.19.003-03;2017-0.094.472-6;APOSTILAMENTO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;08/06/2017;093.051.0001-5;NR2-03; ZEU;Z6-046.;SOCORRO;;CARLOS E. L. BRAGA POSTO;;AV  ATLANTICA 00760 761;19/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;CAPELA DO SOCORRO             ;2018.04.806-00;2018-0.017.146-0;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;20/02/2018;178.152.0004-3;NR2-07; AC-2 / QA/012 / MA/005;ZONA DE LAZER E TURISMO.;SANTO AMARO;;CLUBE DE CAMPO DE SAO PAULO;;PC  ROCKFORD 28 ;02/04/2018;ADRIANA SEMENICHIN BURLE;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;CIDADE ADEMAR                 ;2015.16.198-01;2016-0.230.108-1;REVALIDACAO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;11/10/2016;120.391.0015-5;NR2-03; ZEU;ZONA DE CENTRALIDADE POLAR - B.;CIDADE ADEMAR;;AUTO POSTO CAMPANIA LTDA;;AV  CUPECE 2730 ;24/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;IPIRANGA                      ;2018.06.039-00;2017-0.015.720-1;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;27/01/2017;050.220.0144-6;NR3-02; ZPI-1;Z6-034.;IPIRANGA;;RAIZEN COMBUSTIVEIS S.A.;;R   AURIVERDE 02028 ;19/04/2018;DJALMA CESAR DE OLIVEIRA;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;ITAIM PAULISTA                ;2018.04.805-00;2017-0.082.536-0;ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;19/05/2017;112.663.0052-9;NR2-03; ZM-3A/001;Z2.;SMPAULISTA;;AUTO POSTO CEMBIRA LTDA;;AV  COCA 000041 ;02/04/2018;JOSE ALVES DE OLIVEIRA;;JOSE ALVES DE OLIVEIRA;;;;;
Abril;SMUL/SEGUR/DMIS     ;ITAIM PAULISTA                ;2018.04.915-00;2017-0.163.144-6;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;30/10/2017;133.243.0011-7;NR2-03; ZCL-A LINDEIRA A ZM-3A;Z2.;CIDADE NITRO OPERARI;;AUTO POSTO EUROPA GARDEN LTDA;;AV  MARECHAL TITO 07031 7059;03/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;ITAIM PAULISTA                ;2018.04.916-00;2017-0.163.144-6;CERTIFICADO DE ESTANQUEIDADE;30/10/2017;133.243.0011-7;NR2-03; ZCL-A LINDEIRA A ZM-3A;Z2.;CIDADE NITRO OPERARI;;AUTO POSTO EUROPA GARDEN LTDA;;AV  MARECHAL TITO 07031 7059;03/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;ITAIM PAULISTA                ;2018.06.557-00;2018-0.025.541-8;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;12/03/2018;139.059.0064-4;NR2-03; ZC / QA/009 / MA/003;ZONA MISTA DE MEDIA DENSIDADE.;VILA CURUCA;;AUTO POSTO BIG BOSS LTDA;;AV  NORDESTINA 4152 ;26/04/2018;RICARDO FRATIC BACIC JUNIOR;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;ITAIM PAULISTA                ;2018.06.558-00;2018-0.025.541-8;CERTIFICADO DE ESTANQUEIDADE;12/03/2018;139.059.0064-4;NR2-03; ZC / QA/009 / MA/003;ZONA MISTA DE MEDIA DENSIDADE.;VILA CURUCA;;AUTO POSTO BIG BOSS LTDA;;AV  NORDESTINA 4152 ;26/04/2018;RICARDO FRATIC BACIC JUNIOR;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;ITAQUERA                      ;2018.06.044-00;2017-0.106.018-0;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;30/06/2017;144.196.0020-8;NR2-03; ZEUP / QA/002 / MA/014;Z2.;ITAQUERA;;AUTO POSTO MAX PREMIUM LTDA;;AV  JACU-PESSEGO/N.TRABALHADORES 04700 ;19/04/2018;EDUARDO POSTIGO DOS SANTOS;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;ITAQUERA                      ;2018.06.553-00;2017-0.090.875-4;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;02/06/2017;146.141.0084-7;NR2-03; ZEU / QA/009 / MA/003;ZONA MISTA DE MEDIA DENSIDADE.;ITAQUERA;;AUTO POSTO LIDER DE ITAQUERA LTDA - EPP;;AV  LIDER 1400 LT 40 E 41 QD105;26/04/2018;RICARDO FRATIC BACIC JUNIOR;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;LAPA                          ;2018.04.804-00;2018-0.029.060-4;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;20/03/2018;021.116.0002-4;"NR3; NR3-01"; ZM;Z3-236.;BARRA FUNDA;;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;;R   DOUTOR ALFREDO DE CASTRO 00299 ;02/04/2018;ISMAEL DE CARVALHO;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;LAPA                          ;2018.06.554-00;2017-0.119.416-0;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;27/07/2017;197.059.0083-2;NR3-01; ZM-3B/012;Z3-077.;BARRA FUNDA;;RADIO E TELEVISAO RECORD S.A;;R   DA VARZEA 00230 240 250 290 300;26/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;M BOI MIRIM                   ;2018.06.552-00;2016-0.273.289-9;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;16/12/2016;103.046.0193-3;NR2-03; ZPI-1;ZONA MISTA DE MEDIA DENSIDADE.;GUARAPIRANGA;;AUTO POSTO SILGUEKRON LTDA;;AV  GUARAPIRANGA 01791 ;26/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;M BOI MIRIM                   ;2018.06.600-00;2016-0.277.526-1;ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;22/12/2016;103.046.0193-3;NR2-03; ZPI-1;ZONA MISTA DE MEDIA DENSIDADE.;GUARAPIRANGA;;AUTO POSTO SILGUEKRON LTDA;;AV  GUARAPIRANGA 01791 ;27/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;MOOCA                         ;2016.09.158-02;2017-0.089.186-0;APOSTILAMENTO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;31/05/2017;054.110.0050-5;NR2-03; ZC;Z3-129.;TATUAPE;;ABEL MONTEIRO E CIA LTDA;;R   BARAO DO SERRO LARGO 00269 ;19/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;MOOCA                         ;2018.04.918-00;2015-0.154.277-6;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;15/06/2015;062.212.0064-4;"NR1-02; NR2-03"; ZM-3A;Z2.;TATUAPE;;AUTO POSTO BOXTER MARGINAL LTDA;;R   JACIRENDI 000739 ;03/04/2018;EDUARDO POSTIGO DOS SANTOS;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;MOOCA                         ;2018.04.932-00;2015-0.312.359-2;ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;24/11/2015;062.212.0064-4;"NR1-02; NR2-03"; ZM-3A;Z2.;TATUAPE;;AUTO POSTO BOXTER MARGINAL LTDA;;R   JACIRENDI 000739 ;03/04/2018;EDUARDO POSTIGO DOS SANTOS;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;PINHEIROS                     ;2016.03.035-01;2017-0.109.276-6;REVALIDACAO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;06/07/2017;085.641.2218-9;NR1-04; ZC;Z2.;TORRE B;;CENTRO EMPRESARIAL BERRINI;;AV  ENGENHEIRO LUIZ CARLOS BERRINI 01376 REMANESCENTE;26/04/2018;GISELE RONDINI;;GISELE RONDINI;;;;;
Abril;SMUL/SEGUR/DMIS     ;SANTANA/ TUCURUVI              ;2015.29.270-01;2017-0.025.973-0;REVALIDACAO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;10/02/2017;073.033.0023-6;NR2-03; ZEM;ZONA DE CENTRALIDADE POLAR - B.;SANTANA;;AUTO POSTO PARQUE DA JUVENTUDE LTDA;;AV  CRUZEIRO DO SUL 2363 ;02/04/2018;JOSE CARLOS ABIAD;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;SANTO AMARO                   ;2018.06.040-00;2017-0.100.560-0;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;21/06/2017;086.427.0001-7;NR2-02; ZM;ZONA MISTA DE BAIXA DENSIDADE.;CAMPO BELO;;COMPANHIA BRASILEIRA DE DISTRIBUICAO;;AV  WASHINGTON LUIS 5859 ;19/04/2018;SERGIO ANTONIO MARRA;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;SANTO AMARO                   ;2018.06.046-00;2017-0.119.483-6;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;27/07/2017;088.160.0125-9;NR2; ZCLZ-I/002 LINDEIRA A ZM-2;Z2.;SANTO AMARO;;AUTO POSTO ZETA LTDA;;AV  WASHINGTON LUIS 00870 ;19/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;SANTO AMARO                   ;2018.06.048-00;2017-0.119.483-6;CERTIFICADO DE ESTANQUEIDADE;27/07/2017;088.160.0125-9;NR2; ZCLZ-I/002 LINDEIRA A ZM-2;Z2.;SANTO AMARO;;AUTO POSTO ZETA LTDA;;AV  WASHINGTON LUIS 00870 ;19/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;SANTO AMARO                   ;2018.06.050-00;2017-0.182.099-0;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;13/12/2017;087.443.0069-7;NR1-04; ZM;ZONA MISTA DE BAIXA DENSIDADE.;SANTO AMARO;;ATENTO BRASIL S/A;;AV  JOAO CARLOS DA SILVA BORGES 01240 ;19/04/2018;RICARDO BERRETTINI DE ABREU;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;SE                            ;2018.06.042-00;2008-0.276.327-4;ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;12/09/2008;007.004.0002-8;NR2-03; ZM-3B/001;Z5-001.;STA CECILIA;;POSTO MARECHAL LTDA;;AV  SAO JOAO 02167 ESQ RUA PIRINEOS;19/04/2018;EDGAR SACCHI CORREIA;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;VILA MARIA/ VILA GUILHERME     ;2017.17.307-01;2018-0.037.881-1;APOSTILAMENTO DO CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;11/04/2018;304.135.0067-2;NR2-03; ZC;ZONA DE CENTRALIDADE POLAR - A.;VILA GUILHERME;;M26 AUTO POSTO E CONVENIENCIA LTDA;;AV  GUILHERME 00539 ;26/04/2018;;;;;;;;
Abril;SMUL/SEGUR/DMIS     ;VILA MARIA/ VILA GUILHERME     ;2018.06.043-00;2016-0.189.871-8;CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS;19/08/2016;064.118.0061-8;NR2-02; ZC;Z3-070.;VILA MARIA;;COMPANHIA BRASILEIRA DE DISTRIBUICAO;;R   CURUCA 00784 ;19/04/2018;SERGIO ANTONIO MARRA;;SERGIO ANTONIO MARRA;;;;;
Abril;SMUL/SEGUR/DMIS     ;VILA PRUDENTE                 ;2018.06.599-00;2008-0.361.551-1;ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;05/12/2008;118.161.0008-1;NR2-03; ZCP-A/009;Z8-049.;VILA PRUDENTE;;AUTO POSTO FORCA MAXIMA LTDA;;AV  PROF   LUIZ IGNACIO ANHAIA MELLO 6600 ;27/04/2018;CAIO TAVARES;;;;;;;
Abril;SMUL/SERVIN         ;BUTANTA                       ;2018.06.210-00;2015-0.122.929-6;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;12/05/2015;200.043.0006-6;"NR2; NR1; R2V"; ZEU;EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ;BUTANTÃ;18.789,90;CAMARGO DIÁLOGO EMPREENDIMENTOS IMOBILIÁRIOS LTDA;1.941,00;R   ENGENHEIRO BIANOR 000137 ;23/04/2018;GUILHERME SALLUM NAHAS;;MCAA ARQUITETOS LTDA;;B: 1 P: 17 U: 0;;;
Abril;SMUL/SERVIN         ;PINHEIROS                     ;2018.06.248-00;2016-0.168.242-1;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;26/07/2016;014.017.0377-1;NR1; ZC;ZONA DE CENTRALIDADE LINEAR - B.;CERQUEIRA CESAR;397,67;OSCAR 585 DESENVOLVIMENTO IMOBILIARIO SPE LTDA;1.500,00;R   AUGUSTA 02751 ;23/04/2018;ABRAO ELIAS FRANKEL;;ATHIE WOHNRATH ASSOCIADOS PROJETOS, CONSTRUCAO E GERENCIAMEN;;B: 1 P: 8 U: 0;;;
Abril;SMUL/SERVIN/DSIGP   ;MOOCA                         ;2017.12.555-01;2017-0.117.684-6;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;25/07/2017;030.057.0001-1;"NR2-01; NR1-09; NR1-04; NR1-02; R2V"; EETU;Z3-121.;TATUAPE;;PORTE PLATINA 220 SPE LTDA.;6.418,52;R   BOM SUCESSO 000220 ;10/04/2018;;;;;;;;
Abril;SMUL/SERVIN/DSIGP   ;PINHEIROS                     ;2014.20.995-03;2018-0.030.987-9;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;23/03/2018;010.065.0400-1;NR3-04; ZEU;ZONA DE CENTRALIDADE LINEAR - B.;CONSOLACAO;;STAN PAULISTA EMPREENDIMENTOS LTDA;;AV  PAULISTA 002537 R.DA CONSOLAÇÃO 2561;06/04/2018;;;;;;;;
Abril;SMUL/SERVIN/DSIGP   ;SANTANA/ TUCURUVI              ;2018.06.345-00;2016-0.250.584-1;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;09/11/2016;072.048.0052-4;NR2; ZC;ZONA DE CENTRALIDADE POLAR - A.;SANTANA;712,20;SOCIEDADE BENEFICENTE SAO CAMILO;2.007,16;R   VOLUNTARIOS DA PATRIA 3997 ;24/04/2018;EDUARDO MIDEGA;;EDUARDO MIDEGA;;B: 1 P: 3 U: 0;;;
Abril;SMUL/SERVIN/DSIGP   ;;2015.02.172-01;2016-0.248.778-9;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;08/11/2016;6383580097764;NR1; ZONA NÃO DEFINIDA;ZONA NAO DEFINIDA.;TREMEMBE;1.635,72;FUNDACAO REVIVER - REFÚGIO, VIDA VERDADEIRA;2.922,00;AV  CEL.SEZEFREDO FAGUNDES 006666 ;10/04/2018;OMAR DE CASTRO;;OMAR DE CASTRO;;B: 1 P: 2 U: 0;;;
Abril;SMUL/SERVIN/DSIMP   ;ITAQUERA                      ;2013.34.659-02;2018-0.020.395-7;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;27/02/2018;138.040.0006-0;NR2; ZCP-A/003;Z3-085.;PARADA XV NOVEMBRO;2.020,10;CONGREGACAO CRISTA NO BRASIL;1.737,60;R   DAMASIO PINTO 1030 ;17/04/2018;;;;;;;;
Abril;SMUL/SERVIN/DSIMP   ;PINHEIROS                     ;2016.01.405-02;2018-0.015.557-0;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;16/02/2018;013.016.0140-3;NR1-04; ZM-2/022 / EETU;Z2.;JARDIM AMERICA;9.523,22;VALENTE BUSINESS EMPREENDIMENTOS LTDA;1.336,45;R   CAPOTE VALENTE 000120 ;19/04/2018;;;;;B: 1 P: 16 U: 31;;;
Abril;SMUL/SERVIN/DSIMP   ;PINHEIROS                     ;2017.19.545-01;2018-0.023.911-0;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;07/03/2018;081.308.0040-3;NR1;;ZONA DE CENTRALIDADE LINEAR 1 EM ZER.;VL MADALENA;13,09;PEREIRA LEITE ADMINISTRADORA DE BENS LTDA;1.311,81;R   PEREIRA LEITE 00323 319  335;10/04/2018;;;;;B: 1 P: 2 U: 0;;;
Abril;SMUL/SERVIN/DSIMP   ;PINHEIROS                     ;2018.05.021-00;2017-0.142.490-4;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;12/09/2017;016.010.0002-2;NR1; ZCOR-2/001;ZONA DE CENTRALIDADE LINEAR 1 EM ZER.;JD.EUROPA;6.674,79;META ADMINISTRADORA DE BENS LTDA;2.675,00;AV  EUROPA 00105 ;04/04/2018;ALEXANDRE DE SOUZA LIMA;;ALEXANDRE DE SOUZA LIMA;;B: 1 P: 2 U: 0;;;
Abril;SMUL/SERVIN/DSIMP   ;SE                            ;2018.05.023-00;2017-0.108.420-8;CERTIFICADO DE REGULARIZACAO;05/07/2017;007.033.0696-0;S2.1;;Z4-023.;CONSOLACAO;;CONDOMINIO EDIFICIO ITAMARATY;1.280,11;R   MARTINICO PRADO 00026 CJ 55;04/04/2018;NELSON MENDES DA SILVA;;NELSON MENDES DA SILVA;;;;;
Maio;SGM/AJ              ;SANTANA/ TUCURUVI              ;2018.07.049-00;2010-0.061.482-0;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;03/03/2010;072.114.0024-2;"NR2-06; NR1-04; NR1-03; NR1-02"; ZM-3A/003;Z2.;SANTANA;;YONE MOSCARDO MULATINHO;508,29;R   CEL EVARISTO DE CAMPOS 00156 ;04/05/2018;NELSON ROBERTO JARDIM DE SOUZA;;NELSON ROBERTO JARDIM DE SOUZA;;B: 1 P: 4 U: 0;;;
Maio;SGM/AJ              ;SAO MIGUEL                    ;2018.07.158-00;2003-1.059.564-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;131.052.0022-2;E3.3;;Z3-038.;VILA MARIETA;;ADNAN ABDUL KADRI;8.312,62;AV  SAO MIGUEL 7610 ;08/05/2018;LUIZ ANTONIO CAPPILLI;;;;;;;
Maio;SGM/AJ              ;SE                            ;2018.07.260-00;2003-1.063.835-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;008.087.0032-4;"C1.2; S2.1";;Z5-002.;SANTA IFIGENIA;;P0038 ASSOC BARAO DE SOUZA QUEIROZ;160,00;AV  RIO BRANCO 00267 E 279;09/05/2018;LEO ROGERIO CASTELLAN MARTINEZ;;LEO ROGERIO CASTELLAN MARTINEZ;;;;;
Maio;SGM/AJ              ;VILA MARIANA                  ;2018.08.022-00;2004-1.006.336-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;23/11/2004;037.043.0085-3;E3.1;;Z2.;VILA MARIANA;;VERGILIO RUY BIANCO;368,22;R   DOUTOR ALVARO ALVIM 00034 38 40 E 44;23/05/2018;WALDEMAR FERNANDEZ JUNIOR;;;;;;;
Maio;SMUL                ;IPIRANGA                      ;2015.06.420-01;2016-0.150.383-7;RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;01/07/2016;119.165.0050-0;NR2-03; ZM-2;Z2.;SAO JOAO CLIMACO;;AUTO POSTO GUSA LTDA;;ES  DAS LAGRIMAS 003946 ;16/05/2018;FLAVIO LUIZ ANTONIO;;;;;;;
Maio;SMUL                ;PINHEIROS                     ;2002.20.866-02;2016-0.042.814-9;RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;23/02/2016;081.331.0066-6;NR2-03;;ZONA MISTA DE BAIXA DENSIDADE.;LAPA;;AUTO POSTO CERRO CORA LTDA;;R   CERRO CORA 00949 ;16/05/2018;;;;;;;;
Maio;SMUL                ;SAO MATEUS                    ;2011.50.248-03;2016-0.277.402-8;RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE EQUIPAMENTO;22/12/2016;149.001.0041-1;NR2-03; ZCP-A/001;Z2.;JD STA TEREZINHA;;ARRAIAS DO ARAGUAIA AUTO POSTO LTDA;;AV  ARICANDUVA 08624 QD 4 A;16/05/2018;;;;;;;;
Maio;SMUL/ASSEC-CEUSO    ;ITAIM PAULISTA                ;2018.07.225-00;2012-0.270.957-1;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO PARA RESIDENCIAS UNIFAMILIARES;19/09/2012;112.632.0024-8;R1;;  ;VILA CURUÇÁ;157,22;SERGIO MARCIO DE SOUZA MOURA;319,00;R   GUARACICA 00149 LT 8 QD 19;09/05/2018;MARIA GORETI DE SOUZA;;;;B: 1 P: 1 U: 0;;;
Maio;SMUL/ASSEC-CEUSO    ;MOOCA                         ;2018.07.291-00;2012-0.208.483-0;RECONSIDERACAO DE DESPACHO DE ALVARA DE DESDOBRO DE LOTE;23/07/2012;054.191.0009-6;R1;;  ;VILA GOMES CARDIM;;PRISCILA MOLINO COLELLA;189,00;R   ANTONIO CAMARDO 00318 E R. MASTROPAULO, 47;10/05/2018;;;PEPPINO CERSOSIMO;;;;;
Maio;SMUL/COMIN          ;SANTO AMARO                   ;2014.13.748-03;2014-0.241.349-8;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;28/08/2014;085.647.0727-6;NR2; ZM;ZONA MISTA DE BAIXA DENSIDADE.;JARDIM DAS ACACIAS;20,06;MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S/A;56.474,86;AV  ROQUE PETRONI JUNIOR 01089 ;07/05/2018;MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S.A.;ANTONIO SERGIO BIANCO;MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S.A.;ANTONIO SERGIO BIANCO;B: 1 P: 19 U: 0;;;
Maio;SMUL/COMIN/DCIGP    ;LAPA                          ;2018.07.897-00;2017-0.082.074-1;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;18/05/2017;082.226.0006-0;NR2-09; ZDE-2;ZONA MISTA DE ALTA DENSIDADE - A.;JAGUARE;7.400,01;SAO JOSE DESENVOLVIMENTO IMOBILIARIO 44 LTDA;7.479,42;AV  GONCALO MADEIRA 00220 ;21/05/2018;LUIS CLAUDIO ALVES CESAR;;LUIS CLAUDIO ALVES CESAR;;B: 2 P: 3 U: 0;;;
Maio;SMUL/COMIN/DCIGP    ;LAPA                          ;2018.07.897-01;2017-0.082.074-1;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;18/05/2017;082.226.0006-0;NR3;;ZONA MISTA DE ALTA DENSIDADE - A.;JAGUARE;7.400,01;SAO JOSE DESENVOLVIMENTO IMOBILIARIO 44 LTDA;7.479,42;AV  GONCALO MADEIRA 00220 ;30/05/2018;;;;;B: 2 P: 3 U: 0;;;
Maio;SMUL/COMIN/DCIGP    ;MOOCA                         ;2017.12.222-01;2015-0.341.393-0;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;23/12/2015;002.017.0071-9;NR2; ZM-3A;ZONA MISTA DE ALTA DENSIDADE - A.;BRAS;182.301,46;CIRCUITO DE COMPRAS SAO PAULO SPE SA;66.041,46;R   SAO CAETANO 812 ;04/05/2018;MARCIO BOTANA MORAES;;JAYME LAGO MESTIERI;;B: 1 P: 5 U: 0;;;
Maio;SMUL/COMIN/DCIGP    ;MOOCA                         ;2017.22.411-01;2015-0.341.393-0;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;23/12/2015;002.017.0071-9;NR2; ZM-3A;ZONA MISTA DE ALTA DENSIDADE - A.;BRAS;;CIRCUITO DE COMPRAS SAO PAULO SPE SA;;R   SAO CAETANO 812 ;04/05/2018;MARCIO BOTANA MORAES;;JAYME LAGO MESTIERI;;;;;
